Feature,Importance
nb_enfants_nes_vivants,0.23065215
age,0.04235032
niveau_education,0.040729497
region_4,0.031452537
naissances_5ans,0.02842992
age_premiere_naissance,0.026879122
statut_matrimonial,0.024343703
electricite,0.023471082
pb_argent_sante,0.022996888
taille_menage,0.022640916
quintile_richesse,0.021541066
region_6,0.02110929
religion_2,0.021081261
region_8,0.02037505
religion_4,0.019423597
grossesse_interrompue,0.01925766
religion_3,0.019140895
region_7,0.018705409
consultation_etablissement,0.018695656
pb_distance_sante,0.0181085
pb_permission_sante,0.018004296
religion_7,0.01789153
region_12,0.01759095
region_9,0.017578058
milieu_residence,0.017504226
region_5,0.016925953
region_1,0.016784398
pb_aller_seule,0.016750045
assurance_maladie,0.016673788
region_2,0.016642112
religion_1,0.016513929
region_3,0.016385905
travaille_actuellement,0.016132781
region_10,0.015994685
religion_5,0.01569313
score_pb_acces_sante,0.01533081
visite_agent_sante,0.015073631
region_11,0.01392714
religion_96,0.011218209
