Feature,Importance_SHAP
nb_enfants_nes_vivants,2.488457
taille_menage,0.21078336
age,0.20117164
niveau_education,0.1419745
age_premiere_naissance,0.13331889
statut_matrimonial,0.10513236
quintile_richesse,0.09396485
naissances_5ans,0.088184014
region_4,0.07971132
pb_argent_sante,0.068813995
grossesse_interrompue,0.061090168
pb_permission_sante,0.059121564
region_6,0.051635496
religion_2,0.049820706
score_pb_acces_sante,0.04837826
consultation_etablissement,0.038614016
travaille_actuellement,0.034567636
region_8,0.030300356
electricite,0.029914888
region_9,0.026617145
region_7,0.025257668
religion_4,0.021590045
religion_1,0.021229284
visite_agent_sante,0.020312121
region_12,0.020104509
religion_3,0.019347271
milieu_residence,0.019047547
pb_distance_sante,0.018523408
region_5,0.01666289
region_2,0.01406405
region_10,0.014047882
pb_aller_seule,0.013777018
region_3,0.012753679
assurance_maladie,0.008544786
religion_5,0.007719357
religion_7,0.0074047446
region_1,0.0057519153
region_11,0.0048810923
religion_96,0.00023747444
