variable,test,stat,p_value
parite_cat,Chi2,2024.2531536735028,0.0
education_cat,Chi2,590.0883596640023,1.4192976606546293e-127
age_prb_cat,Chi2,492.2859776897634,2.240714408685025e-106
richesse_cat,Chi2,360.2945803660924,1.049682085661331e-76
age,t-test,-17.573015075946795,3.736502962961296e-68
region_cat,Chi2,343.6344889246233,8.931899231206625e-68
union_cat,Chi2,270.92724882379036,1.47535121712667e-59
milieu_cat,Chi2,196.67615362490585,1.1096839541479273e-44
emploi_cat,Chi2,87.42397658971959,8.758231638320455e-21
religion_cat,Chi2,67.59932442435263,3.23483986272656e-13
taille_menage,t-test,-5.069462160994021,4.057476297148864e-07
assurance_cat,Chi2,15.570212136375385,7.94972030585613e-05
naissances_5ans,t-test,3.622279979279726,0.00029339618769905906
score_pb_acces_sante,t-test,-0.5401009334642056,0.5891388903117012
